00000.ppm,Prohibited for vehicles with a permitted gross weight over 3.5t including their trailers, and for tractors except passenger cars and buses
00001.ppm,30 Km/h
00002.ppm,Pass by on right
00003.ppm,Turn right ahead
00004.ppm,Priority crossroad
00005.ppm,Pass by on right
00006.ppm,Danger Ahead
00007.ppm,Priority road
00008.ppm,Road works
00009.ppm,Ahead only
00010.ppm,Priority road
00011.ppm,100 Km/h
00012.ppm,Road slippery when wet or dirty
00013.ppm,100 Km/h
00014.ppm,70 Km/h
00015.ppm,No overtaking
00016.ppm,Double bend (first to left)
00017.ppm,Bend to right
00018.ppm,Pedestrians in road ahead
00019.ppm,Pass by on right
00020.ppm,70 Km/h
00021.ppm,Turn right ahead
00022.ppm,No overtaking
00023.ppm,60 Km/h
00024.ppm,30 Km/h
00025.ppm,Priority crossroad
00026.ppm,Give way
00027.ppm,No overtaking for large trucks
00028.ppm,No overtaking
00029.ppm,Priority crossroad
00030.ppm,80 Km/h
00031.ppm,No entry for vehicular traffic
00032.ppm,Turn left ahead
00033.ppm,Road slippery when wet or dirty
00034.ppm,50 Km/h
00035.ppm,No entry for vehicular traffic
00036.ppm,60 Km/h
00037.ppm,Priority road
00038.ppm,Prohibited for vehicles with a permitted gross weight over 3.5t including their trailers, and for tractors except passenger cars and buses
00039.ppm,120 Km/h
00040.ppm,100 Km/h
00041.ppm,Risk of snow or ice
00042.ppm,Danger Ahead
00043.ppm,Priority road
00044.ppm,Road narrows (right)
00045.ppm,50 Km/h
00046.ppm,60 Km/h
00047.ppm,No overtaking for large trucks
00048.ppm,No overtaking for large trucks
00049.ppm,30 Km/h
00050.ppm,Pass by on left
00051.ppm,Give way
00052.ppm,No vehicles
00053.ppm,No overtaking
00054.ppm,Give way
00055.ppm,Ahead only
00056.ppm,80 Km/h
00057.ppm,Traffic signals
00058.ppm,No overtaking
00059.ppm,Prohibited for vehicles with a permitted gross weight over 3.5t including their trailers, and for tractors except passenger cars and buses
00060.ppm,Pass by on right
00061.ppm,No overtaking for large trucks
00062.ppm,70 Km/h
00063.ppm,No overtaking
00064.ppm,No vehicles
00065.ppm,No overtaking
00066.ppm,Traffic signals
00067.ppm,50 Km/h
00068.ppm,80 Km/h
00069.ppm,Children crossing ahead
00070.ppm,Priority crossroad
00071.ppm,Road works
00072.ppm,Risk of snow or ice
00073.ppm,Turn left ahead
00074.ppm,80 Km/h
00075.ppm,Priority road
00076.ppm,30 Km/h
00077.ppm,No overtaking for large trucks
00078.ppm,50 Km/h
00079.ppm,Pedestrians in road ahead
00080.ppm,Wild animals
00081.ppm,Turn right ahead
00082.ppm,Road works
00083.ppm,100 Km/h
00084.ppm,No overtaking for large trucks
00085.ppm,Ahead only
00086.ppm,60 Km/h
00087.ppm,80 Km/h
00088.ppm,Uneven road
00089.ppm,Give way
00090.ppm,60 Km/h
00091.ppm,30 Km/h
00092.ppm,50 Km/h
00093.ppm,Stop
00094.ppm,Priority road
00095.ppm,End of all speed and overtaking restrictions
00096.ppm,60 Km/h
00097.ppm,Pass by on right
00098.ppm,No overtaking
00099.ppm,Turn right ahead
00100.ppm,30 Km/h
